target_account,account_type,root_type
1010000 - Capital Account - SPP,,Liability
1010100 - Partner's Capital Account - SPP,,Liability
1010100.001 - Capital Account - Aishwaraya Karthik - SPP,,Liability
1010100.002 - Capital Account - Chitra Ganesh - SPP,,Liability
1010100.003 - Capital Account - K Raghupathy - SPP,,Liability
1010100.004 - Capital Account - Padma Raghupathy - SPP,,Liability
1010100.005 - Capital Account - R Ganesh Kumar - SPP,,Liability
1010100.006 - Capital Account - R Karthik - SPP,,Liability
1010200 - Partner's Drawing Account - SPP,,Liability
1010200.001 - Drawings Account - K Ragupathy - SPP,,Liability
1010200.002 - Drawings Account - Padma Raghupathy - SPP,,Liability
1010200.003 - Drawings Account - R Ganesh Kumar - SPP,,Liability
1010200.004 - Drawings Account - R Karthick - SPP,,Liability
1010300 - Partner's Current Account - SPP,,Liability
1010300.001 - Current Account - Chitra Ganesh - SPP,,Liability
1010300.002 - Current Account - K Ragupathy - SPP,,Liability
1010300.003 - Current Account - Padma Raghupathy - SPP,,Liability
1010300.004 - Current Account - R Ganesh Kumar - SPP,,Liability
1010300.005 - Current Account - R Karthick - SPP,,Liability
1020000 - Reserves and Surplus - SPP,,Liability
2010000 - Long-Term Borrowings - SPP,,Liability
2010100 - Secured Long Term Loans - SPP,,Liability
2010110 - Secured Long Term Loans from Bank - SPP,,Liability
2010110.001 - Punjab National Bank Loan - 034500SZ00000036 - SPP,,Liability
2010110.002 - Punjab National Bank  Loan - Mahindra XUV 400 - SPP,,Liability
2010110.003 - Punjab National Bank Loan - Mahindra XUV 700 - SPP,,Liability
2010110.004 - Punjab National Bank - Tafe Access Ltd - Tata Nexon EV Prime XZ+ - SPP,,Liability
2010120 - Secured Long Term Loans from Financial Institutions - SPP,,Liability
2010120.001 - SIDBI - SPP,,Liability
2010120.002 - TIIC Limited - SPP,,Liability
2010130 - Secured Long Term Loans from Others - SPP,,Liability
2010200 - Unsecured Long Term Loans - SPP,,Liability
2010210 - Unsecured Long Term Loans from Bank - SPP,,Liability
2010220 - Unsecured Long Term Loans from NBFC - SPP,,Liability
2010230 - Unsecured Long Term Loans from Others - SPP,,Liability
2010240 - Unsecured Long Term Loans from Partners - SPP,,Liability
2010240.001 - Unsecured Loan Account - Chitra Ganesh - SPP,,Liability
2010240.002 - Unsecured Loan Account - K Raghupathy - SPP,,Liability
2010240.003 - Unsecured Loan Account - Padma Raghupathy - SPP,,Liability
2010240.004 - Unsecured Loan Account - R Ganesh Kumar - SPP,,Liability
2010240.005 - Unsecured Loan Account - R Karthik - SPP,,Liability
2020000 - Other Long Term Liability - SPP,,Liability
2020200 - Long term Loans and Advances - SPP,,Liability
2030000 - Long Term Provision - SPP,,Liability
2030100 - Provision for Leave Encashment - SPP,,Liability
2030200 - Provision for Gratuity - SPP,,Liability
2040000 - Short-Term Borrowings - SPP,,Liability
2040100 - Secured Short Term Loans - SPP,,Liability
2040110 - Secured Long Term Loans from Bank - SPP,,Liability
2040120 - Secured Long Term Loans from NBFC - SPP,,Liability
2040130 - Secured Long Term Loans from Others - SPP,,Liability
2040200 - Unsecured Short Term Loans - SPP,,Liability
