old_item_code,new_item_code
921,921
320 Emery Sheet,320 Emery Sheet
400 Emery,400 Emery
5099 Normal Sticker (Packaging),5099 Normal Sticker (Packaging)
5099-A,5099-A
5100 Normal Sticker (Packaging),5100 Normal Sticker (Packaging)
5100-A,5100-A
600 Emery,600 Emery
621 0068,621 0068
6903 7205,6903 7205
Acceptance Card (Green),Acceptance Card (Green)
AIR GUN - Plastic  ( ME-ABG04),AIR GUN - Plastic  ( ME-ABG04)
Alcohol / Spray Warning Sticker,Alcohol / Spray Warning Sticker
B_4910,B_4910
B_5022,B_5022
B_50EP02,B_50EP02
B_60103,B_60103
B_6023,B_6023
B_6024,B_6024
B_6025,B_6025
B_6028,B_6028
B_6060,B_6060
B_6122,B_6122
B_65101,B_65101
B_6523,B_6523
B_69221,B_69221
B_70103,B_70103
B_70104,B_70104
B_7022,B_7022
B_7023,B_7023
B_7024,B_7024
B_7025,B_7025
B_70253,B_70253
B_7026,B_7026
B_70EP02,B_70EP02
B_70EP07 CLEANING,B_70EP07 CLEANING
B_75H02,B_75H02
B_8010,B_8010
B_8023,B_8023
B_8025,B_8025
B_80255,B_80255
B_85H01,B_85H01
B_9023,B_9023
B_90H02,B_90H02
B_90NVC01,B_90NVC01
B_BA0127,B_BA0127
B_DH0128,B_DH0128
B_EH0039,B_EH0039
B_EP7003,B_EP7003
Barcode Ribbon Premium Wax 110 mm X 75 Mtrs,Barcode Ribbon Premium Wax 110 mm X 75 Mtrs
BIN -300X200X200,BIN -300X200X200
BIN -400X300X220,BIN -400X300X220
BIN -500X325X100,BIN -500X325X100
BIN -600X400X125,BIN -600X400X125
BIN -600X400X275,BIN -600X400X275
BIO DISPERSANT-OCH-CTC-423,BIO DISPERSANT-OCH-CTC-423
BLANKING CARD 70mm X 60mm ( BLUE ),BLANKING CARD 70mm X 60mm ( BLUE )
BLANKING CARD 70mm X 60mm ( GREEN ),BLANKING CARD 70mm X 60mm ( GREEN )
BT 001,BT 001
C - C27 000 6809,C - C27 000 6809
C_4910,C_4910
C_5022,C_5022
C_50EP02,C_50EP02
C_50V02,C_50V02
C_60103,C_60103
C_6023,C_6023
C_6024,C_6024
C_6025,C_6025
C_6028,C_6028
C_6040,C_6040
C_6060,C_6060
C_60F01,C_60F01
C_6122,C_6122
C_6210,C_6210
C_6510,C_6510
C_65101,C_65101
C_6523,C_6523
C_6540,C_6540
C_6580,C_6580
C_69221,C_69221
C_70103,C_70103
C_70104,C_70104
C_7022,C_7022
C_7023,C_7023
C_7024,C_7024
C_7025,C_7025
C_70253,C_70253
C_70256,C_70256
C_7026,C_7026
C_7040,C_7040
C_70EP02,C_70EP02
C_70EP07,C_70EP07
C_7580,C_7580
C_75H02,C_75H02
C_75H03,C_75H03
C_8010,C_8010
C_8023,C_8023
C_8025,C_8025
C_80255,C_80255
C_80V01,C_80V01
C_85H01,C_85H01
C_9023,C_9023
C_90H02,C_90H02
C_90NVC01,C_90NVC01
C_BA0127,C_BA0127
C_DH0128,C_DH0128
C_EH0039,C_EH0039
C_EP7003,C_EP7003
CARD HOLDER FOR BIN,CARD HOLDER FOR BIN
Carton Box 14x11x8,Carton Box 14x11x8
Carton Box 150 GSM,Carton Box 150 GSM
Carton Box 17x14x12,Carton Box 17x14x12
Carton Box Pad,Carton Box Pad
Carton Box Partition,Carton Box Partition
Castor Wheels,Castor Wheels
Cloth Emery Sheet,Cloth Emery Sheet
CMB_7025,CMB_7025
CMB_70253,CMB_70253
COLOUR WASTE ( BANIAN ),COLOUR WASTE ( BANIAN )
COMPOUND CARD 105mm X 80mm (WHITE ),COMPOUND CARD 105mm X 80mm (WHITE )
COMPOUND CARD 105mm X 80mm (YELLOW ),COMPOUND CARD 105mm X 80mm (YELLOW )
CORROSSION INHIBITOR-OCH-CTC-403,CORROSSION INHIBITOR-OCH-CTC-403
COTTON KNITTED GLOVES,COTTON KNITTED GLOVES
CPAT2C-11A197-BA,CPAT2C-11A197-BA
CPMX7311A120AA,CPMX7311A120AA
Daily Production Report Legal 120 GSM Paper,Daily Production Report Legal 120 GSM Paper
DEALKALIER-OCH-CTC-412,DEALKALIER-OCH-CTC-412
dev.P520,dev.P520
dev.P521,dev.P521
dev.T520,dev.T520
dev.T521,dev.T521
dev.T528,dev.T528
DISABLE,DISABLE
DISABLED - PEG4000,DISABLED - PEG4000
Dust Cover 24 X 48,Dust Cover 24 X 48
Dust Cover 27 X 48,Dust Cover 27 X 48
EN1A ROD,EN1A ROD
ETHYLENE GLYCOL 500 ML,ETHYLENE GLYCOL 500 ML
"EVA BAGS 12""x16""","EVA BAGS 12""x16"""
"EVA BAGS 18"" X 24""","EVA BAGS 18"" X 24"""
"EVA BAGS 8"" X 10""","EVA BAGS 8"" X 10"""
EXPIRY REVIEW CARD 100mm X 130mm Green Colour,EXPIRY REVIEW CARD 100mm X 130mm Green Colour
F1101,F1101
F1113,F1113
F1126,F1126
F1135,F1135
F1136,F1136
F1137,F1137
F1138,F1138
F1139,F1139
F1152,F1152
F1158,F1158
F1168,F1168
F1169,F1169
F1601,F1601
F1602,F1602
F1603,F1603
F1604,F1604
F1605,F1605
F1606,F1606
F1608,F1608
F204,F204
F2438,F2438
F2439,F2439
F2801,F2801
F3401,F3401
F4004,F4004
F4005,F4005
F4006,F4006
F4007,F4007
F4012,F4012
F4015,F4015
F5001,F5001
F5002,F5002
F5003,F5003
F5013,F5013
F5023,F5023
F5024,F5024
F5027,F5027
F5029,F5029
F5035,F5035
F5036,F5036
F5039,F5039
F5040,F5040
F5041,F5041
F5042,F5042
F5043,F5043
F5044,F5044
F5045,F5045
F5046,F5046
F5047,F5047
F5050,F5050
F5051,F5051
F5052,F5052
F5053,F5053
F5059,F5059
F5060,F5060
F5061,F5061
F5062,F5062
F5067,F5067
F5068,F5068
F5071,F5071
F5072,F5072
F5073,F5073
F5079,F5079
F5080,F5080
F5081,F5081
F5082,F5082
F5083,F5083
F5085,F5085
F5086,F5086
F5089,F5089
F5097,F5097
F5102,F5102
F5103,F5103
F5107,F5107
F5112,F5112
F5113,F5113
F5114,F5114
F5115,F5115
F5116,F5116
F5117,F5117
F5118,F5118
F5120,F5120
F5121,F5121
F5122,F5122
F5124,F5124
F5125,F5125
F5129,F5129
F5130,F5130
F5131 A,F5131 A
F5133,F5133
F6070,F6070
F6075,F6075
F6080,F6080
F6090 V,F6090 V
F6095 H,F6095 H
F6095 V,F6095 V
F6100,F6100
F7003,F7003
F7006,F7006
F7010,F7010
F7017,F7017
F7034,F7034
F7035,F7035
F7036,F7036
F7046,F7046
F7047,F7047
F7049,F7049
F7056,F7056
F7065,F7065
F8601,F8601
F8602,F8602
F9027,F9027
F9028,F9028
F9054,F9054
F9100,F9100
F9127,F9127
F9141,F9141
F9143,F9143
F9144,F9144
F9149,F9149
F9150,F9150
F9151,F9151
Face Mask Blue,Face Mask Blue
FB_4910,FB_4910
FB_5022,FB_5022
FB_50EP02,FB_50EP02
FB_50V02,FB_50V02
FB_60103,FB_60103
FB_6023,FB_6023
FB_6024,FB_6024
FB_6025,FB_6025
FB_6028,FB_6028
FB_6060,FB_6060
FB_60F01,FB_60F01
FB_6122,FB_6122
FB_6510,FB_6510
FB_65101,FB_65101
FB_6523,FB_6523
FB_69221,FB_69221
FB_70103,FB_70103
FB_70104,FB_70104
FB_7022,FB_7022
FB_7023,FB_7023
FB_7024,FB_7024
FB_7025,FB_7025
FB_70253,FB_70253
FB_7026,FB_7026
FB_7040 CLEANING,FB_7040 CLEANING
FB_70EP02,FB_70EP02
FB_70EP07,FB_70EP07
FB_7580,FB_7580
FB_75H02,FB_75H02
FB_8010,FB_8010
FB_8023,FB_8023
FB_8025,FB_8025
FB_80255,FB_80255
FB_80V01,FB_80V01
FB_85H01,FB_85H01
FB_9023,FB_9023
FB_90H02,FB_90H02
FB_90NVC01,FB_90NVC01
FB_BA0127,FB_BA0127
FB_DH0128,FB_DH0128
FB_EH0039,FB_EH0039
FB_EP7003,FB_EP7003
FBH001,FBH001
FDS001,FDS001
FDS002,FDS002
Final Batch Identification Tag,Final Batch Identification Tag
Final Inspection Route Card 105mm X 100mm Green Colour,Final Inspection Route Card 105mm X 100mm Green Colour
FOTEK PS-O5N,FOTEK PS-O5N
FP-85-07,FP-85-07
FP-85-17,FP-85-17
FP-86-05,FP-86-05
FP-86-07,FP-86-07
FP-86-12,FP-86-12
FP-86-23,FP-86-23
FP-89-05,FP-89-05
FP-89M-22,FP-89M-22
Gate Pass  Book (3 Colour copies),Gate Pass  Book (3 Colour copies)
GREEN CHANNEL PART TAG 130MM * 100MM (GREEN),GREEN CHANNEL PART TAG 130MM * 100MM (GREEN)
HB-35,HB-35
HEAT TRANSFER OIL S2,HEAT TRANSFER OIL S2
Heater For Rheometer,Heater For Rheometer
HMHD BAGS ( 12X16 HMT ),HMHD BAGS ( 12X16 HMT )
Inprocess Inspection Report F&B 1/4 Each 100 sheets,Inprocess Inspection Report F&B 1/4 Each 100 sheets
Layer Pad 161/2 x 131/4 - 3 Py,Layer Pad 161/2 x 131/4 - 3 Py
LID - 300x200,LID - 300x200
LID - 400X300,LID - 400X300
LID - 500X325,LID - 500X325
LID - 600X400,LID - 600X400
Line Rejection Analaysis Report 1X4 SIZE,Line Rejection Analaysis Report 1X4 SIZE
Lot Inspection Record,Lot Inspection Record
RM 01,M01
M010,M010
M014,M014
RM 02,M02
MF 022,M022
M023,M023
M024,M024
M027,M027
M040,M040
M041,M041
M042,M042
M045,M045
M049,M049
M051,M051
M054,M054
M058,M058
M060,M060
M069,M069
M072,M072
M073,M073
M075,M075
M082,M082
M084,M084
M089,M089
RM 1,M1
M100,M100
MR 102,M102
MR 105,M105
MR 106,M106
MR 107,M107
MR 108,M108
MR 109,M109
MR 110,M110
MR 111,M111
M113,M113
M114,M114
MR 118,M118
MC 12,M12
M120,M120
MR 121,M121
M124,M124
M129,M129
MC 13,M13
MR 131,M131
M132,M132
M134,M134
MR 141,M141
MR 142,M142
MR 145,M145
MR 147,M147
MC 15,M15
MR 151,M151
M155,M155
MR 156,M156
MR 159,M159
MC 16,M16
MR 161,M161
MR 162,M162
MR 163,M163
MR 167,M167
MR 171,M171
M172,M172
MR 173,M173
MR 174,M174
M176,M176
M178,M178
M179,M179
M181,M181
M182,M182
MR 183,M183
MR 185,M185
MR 186,M186
MR 188,M188
MR 191,M191
MR 193,M193
M194,M194
M195,M195
MR 196,M196
MR 197,M197
M198,M198
MR 199,M199
RM 2,M2
MF 200,M200
MF 201,M201
MF 202,M202
MF 203,M203
M204,M204
MF 205,M205
MF 209,M209
MF 21,M21
MF 211,M211
MF 213,M213
MF 214,M214
MF 215,M215
